"shapeid","ZCTA5CE10","GEOID10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"7","77345","77345","21906902.0","5635267.0","+30.0531052","-095.1579431","26122","1313","2020","2535","2338","938","787","1055","1594","2098","2492","2513","2200","1727","1060","603","371","256","222","12843","670","1041","1286","1186","488","394","469","713","965","1179","1275","1086","910","546","298","175","95","67","13279","643","979","1249","1152","450","393","586","881","1133","1313","1238","1114","817","514","305","196","161","155","41.1","40.8","41.3","19731","9588","10143","18582","9007","9575","17719","8552","9167","3481","1701","1780","2512","1181","1331","26122","25680","23492","624","83","926","223","226","109","33","87","58","190","25","4","9","2","10","530","442","63","191","47","64","23885","712","171","1160","50","615","26122","2421","1542","135","107","637","23701","26122","2421","1787","33","11","7","1","469","113","23701","21705","591","72","919","24","61","329","26122","26122","9150","6859","8994","7244","718","258","177","401","37","20","217","0","0","0","0","0","0","0","9150","7633","3821","6859","3323","222","135","552","363","1517","1305","523","115","782","353","3976","1767","2.85","3.17","9822","9150","672","413","7","135","38","31","48","1.7","25.9","9150","7978","1172","23771","2351","2.98","2.01","0.24978609735","0.00257644049"
"8","77346","77346","44965356.0","7334996.0","+29.9944993","-095.1774987","53578","4413","4634","4689","4134","2553","3301","4250","4830","4263","3975","3626","3140","2511","1441","845","489","302","182","26403","2321","2328","2430","2164","1250","1560","1996","2329","2062","1887","1789","1523","1247","715","411","225","113","53","27175","2092","2306","2259","1970","1303","1741","2254","2501","2201","2088","1837","1617","1264","726","434","264","189","129","33.7","33.0","34.3","38938","18880","20058","37056","17910","19146","35181","16877","18304","4680","2232","2448","3259","1517","1742","53578","52042","38778","8311","206","1644","262","280","349","46","70","296","341","154","36","67","1","50","2949","1536","168","309","271","422","40071","8779","489","2121","228","3545","53578","10736","7756","412","161","2407","42842","53578","10736","6861","236","73","33","14","2868","651","42842","31917","8075","133","1611","140","81","885","53578","53555","17768","11848","19235","15173","3039","1157","502","1665","189","40","830","23","0","0","0","23","23","0","17768","14540","8056","11848","6401","757","422","1935","1233","3228","2605","1191","119","1414","376","8700","2419","3.01","3.35","18490","17768","722","186","11","274","40","55","156","1.8","6.3","17768","15001","2767","45962","7593","3.06","2.74","0.3668739178","0.00488959831"
"8.ring1","77346","77346","44965356.0","7334996.0","+29.9944993","-095.1774987","53578","4413","4634","4689","4134","2553","3301","4250","4830","4263","3975","3626","3140","2511","1441","845","489","302","182","26403","2321","2328","2430","2164","1250","1560","1996","2329","2062","1887","1789","1523","1247","715","411","225","113","53","27175","2092","2306","2259","1970","1303","1741","2254","2501","2201","2088","1837","1617","1264","726","434","264","189","129","33.7","33.0","34.3","38938","18880","20058","37056","17910","19146","35181","16877","18304","4680","2232","2448","3259","1517","1742","53578","52042","38778","8311","206","1644","262","280","349","46","70","296","341","154","36","67","1","50","2949","1536","168","309","271","422","40071","8779","489","2121","228","3545","53578","10736","7756","412","161","2407","42842","53578","10736","6861","236","73","33","14","2868","651","42842","31917","8075","133","1611","140","81","885","53578","53555","17768","11848","19235","15173","3039","1157","502","1665","189","40","830","23","0","0","0","23","23","0","17768","14540","8056","11848","6401","757","422","1935","1233","3228","2605","1191","119","1414","376","8700","2419","3.01","3.35","18490","17768","722","186","11","274","40","55","156","1.8","6.3","17768","15001","2767","45962","7593","3.06","2.74","0.3668739178","0.00488959831"
"9","77520","77520","62010184.0","35480073.0","+29.7332834","-094.9941228","36489","3111","3030","2863","3074","2682","2576","2385","2385","2365","2264","2237","2044","1622","1133","829","721","576","592","18064","1586","1586","1458","1555","1361","1288","1165","1201","1163","1138","1128","1018","782","541","394","289","223","188","18425","1525","1444","1405","1519","1321","1288","1220","1184","1202","1126","1109","1026","840","592","435","432","353","404","31.9","30.8","33.0","26885","13141","13744","25660","12488","13172","23864","11600","12264","4795","2097","2698","3851","1635","2216","36489","35454","23140","4640","256","354","107","10","143","3","5","34","52","18","9","2","1","6","7046","1035","97","36","142","541","23990","4880","413","443","85","7743","36489","18874","17252","143","38","1441","17615","36489","18874","10763","190","168","13","8","7008","724","17615","12377","4450","88","341","10","38","311","36489","36250","12255","5880","12674","9018","3603","1620","355","1838","170","71","884","239","176","50","126","63","30","33","12255","8863","4464","5880","2866","894","436","2089","1162","3392","2792","1370","329","1422","726","5210","2872","2.96","3.5","14316","12255","2061","928","107","201","52","61","712","2.6","15.8","12255","7434","4821","22599","13651","3.04","2.83","0.60664000656","0.00909100434"
"10","77521","77521","107414166.0","1152382.0","+29.8024381","-094.9702251","49507","4277","4082","3940","3745","3432","3721","3692","3456","3077","3145","3133","2923","2343","1586","1041","735","601","578","23944","2166","2114","1965","1905","1710","1739","1773","1662","1495","1520","1467","1422","1127","723","489","286","210","171","25563","2111","1968","1975","1840","1722","1982","1919","1794","1582","1625","1666","1501","1216","863","552","449","391","407","32.1","31.0","33.0","36464","17315","19149","34941","16537","18404","32787","15430","17357","5804","2480","3324","4541","1879","2662","49507","48182","29936","9586","333","1018","251","85","374","7","47","101","153","27","6","3","10","8","7282","1325","114","92","265","507","30961","10083","534","1202","94","8006","49507","17402","15287","233","81","1801","32105","49507","17402","9011","222","201","32","7","7170","759","32105","20925","9364","132","986","20","112","566","49507","49145","17327","8903","16784","12620","3981","1730","421","2150","206","69","1147","362","331","101","230","31","25","6","17327","12596","6528","8903","4359","940","487","2753","1682","4731","3958","1868","324","2090","844","7432","3291","2.84","3.36","19637","17327","2310","1677","23","229","40","44","297","2.0","21.2","17327","11134","6193","33816","15329","3.04","2.48","0.59660497348","0.01013035886"
"11","77530","77530","34079270.0","9788110.0","+29.7859071","-095.1172066","31086","2930","3043","2883","2764","2343","2286","2228","2314","2070","2015","1868","1470","1061","686","479","310","188","148","15710","1509","1563","1465","1480","1238","1171","1096","1097","1065","986","949","709","530","346","239","136","78","53","15376","1421","1480","1418","1284","1105","1115","1132","1217","1005","1029","919","761","531","340","240","174","110","95","28.5","27.6","29.4","21657","10866","10791","20510","10280","10230","18966","9407","9559","2387","1133","1254","1811","852","959","31086","29892","18081","3799","265","366","27","40","99","4","4","153","39","23","1","0","1","21","7358","1194","100","46","71","746","19098","3951","448","453","97","8280","31086","19007","16387","137","39","2444","12079","31086","19007","10366","147","181","15","9","7314","975","12079","7715","3652","84","351","14","44","219","31086","31002","9015","5068","11948","8852","3584","1560","356","1387","144","34","616","84","0","0","0","84","53","31","9015","7303","4199","5068","2960","705","370","1530","869","1712","1371","818","158","553","193","4854","1425","3.44","3.82","9822","9015","807","407","31","114","34","47","174","1.8","12.1","9015","6091","2924","21110","9892","3.47","3.38","0.37162105296","0.00409286355"
"12","77532","77532","203088292.0","12262531.0","+29.9328716","-095.0571875","26236","1943","1999","2028","1991","1450","1681","1731","1902","1722","1921","2106","1777","1449","978","612","444","310","192","13031","985","1012","1020","1034","727","817","820","935","857","934","1085","892","730","491","297","194","127","74","13205","958","987","1008","957","723","864","911","967","865","987","1021","885","719","487","315","250","183","118","35.8","35.6","36.0","19852","9819","10033","18947","9354","9593","17973","8819","9154","3371","1617","1754","2536","1183","1353","26236","25638","19365","3928","153","110","7","11","45","2","4","24","17","7","1","1","0","5","2075","598","133","47","117","200","19895","4109","333","178","15","2340","26236","4997","4300","46","21","630","21239","26236","4997","2560","33","83","7","0","2044","270","21239","16805","3895","70","103","7","31","328","26236","26200","9093","5444","8463","6186","2138","985","243","1062","117","40","500","36","0","0","0","36","28","8","9093","7149","3244","5444","2341","540","269","1165","634","1944","1572","834","171","738","355","3784","1916","2.88","3.24","9887","9093","794","254","6","116","53","60","305","1.5","13.0","9093","7401","1692","21109","5091","2.85","3.01","0.69030171705","0.02012039314"
"13","77536","77536","32410620.0","1386031.0","+29.6984614","-095.1212681","30690","2071","2206","2476","2405","1735","1854","2189","2114","2086","2205","2354","2110","1638","1127","785","544","420","371","15084","1054","1144","1266","1229","902","896","1051","1057","1045","1038","1152","1041","822","526","356","239","160","106","15606","1017","1062","1210","1176","833","958","1138","1057","1041","1167","1202","1069","816","601","429","305","260","265","36.0","35.0","37.2","23465","11402","12063","22448","10882","11566","21156","10186","10970","4175","1857","2318","3247","1387","1860","30690","30057","26693","351","207","453","97","35","75","8","57","73","108","26","14","8","0","4","2327","633","116","103","72","239","27264","466","346","590","70","2622","30690","7700","6471","113","58","1058","22990","30690","7700","4869","39","102","21","8","2309","352","22990","21824","312","105","432","18","18","281","30690","30581","10676","6594","10116","7239","2128","895","315","1067","103","43","505","109","87","14","73","22","15","7","10676","8404","3916","6594","2987","582","286","1228","643","2272","1890","848","194","1042","540","4402","2364","2.86","3.24","11157","10676","481","184","8","104","32","20","133","1.2","8.3","10676","8646","2030","25034","5547","2.9","2.73","0.30453248206","0.00315048408"
"14","77373","77373","61441336.0","922383.0","+30.0621687","-095.3839657","54609","4468","4745","4643","4362","3171","4080","4587","4573","3958","3849","3538","2935","2347","1445","779","511","330","288","26539","2263","2443","2396","2190","1619","1929","2167","2185","1910","1859","1677","1377","1077","675","350","190","132","100","28070","2205","2302","2247","2172","1552","2151","2420","2388","2048","1990","1861","1558","1270","770","429","321","198","188","31.9","30.9","32.8","39783","18945","20838","37985","18065","19920","35761","16907","18854","4691","2068","2623","3353","1447","1906","54609","52823","34864","10625","320","1745","264","141","488","38","57","379","378","203","37","84","8","74","5066","1786","176","189","453","535","36342","11375","620","2073","308","5815","54609","15547","11075","480","156","3836","39062","54609","15547","9261","289","163","36","25","4919","854","39062","25603","10336","157","1709","178","147","932","54609","54607","18160","10159","19297","14540","4349","1827","580","2642","254","53","1211","2","0","0","0","2","1","1","18160","14147","7595","10159","5227","1061","613","2927","1755","4013","3100","1457","174","1643","439","8503","2596","3.01","3.39","19307","18160","1147","334","18","437","52","34","272","3.1","6.8","18160","13617","4543","40267","14340","2.96","3.16","0.43056744801","0.005834251"
"15.0","77375","77375","88185870.0","1343976.0","+30.0948858","-095.5858259","39351","3520","3336","3161","2774","2274","3094","3439","3229","2798","2621","2313","1790","1468","1056","710","631","531","606","18969","1813","1658","1619","1420","1142","1463","1648","1574","1384","1296","1104","847","658","452","310","240","184","157","20382","1707","1678","1542","1354","1132","1631","1791","1655","1414","1325","1209","943","810","604","400","391","347","449","32.1","31.1","33.1","28731","13560","15171","27504","12947","14557","26149","12246","13903","4363","1718","2645","3534","1343","2191","39351","38192","29049","3667","305","1625","207","112","399","19","14","501","373","28","8","9","4","7","3518","1159","174","180","230","344","30054","4011","562","1917","81","3971","39351","9555","7034","310","96","2115","29796","39351","9555","5298","117","159","42","3","3434","502","29796","23751","3550","146","1583","25","84","657","39351","38868","13526","7456","13359","10684","2631","917","371","1896","206","66","836","483","418","145","273","65","18","47","13526","9949","5638","7456","4127","666","373","1827","1138","3577","2879","1134","229","1745","785","6126","2435","2.87","3.36","14626","13526","1100","558","39","233","22","31","217","2.4","11.8","13526","9387","4139","28321","10547","3.02","2.55","0.640901473","0.00837851975"
"15.1","77375","77375","88185870.0","1343976.0","+30.0948858","-095.5858259","39351","3520","3336","3161","2774","2274","3094","3439","3229","2798","2621","2313","1790","1468","1056","710","631","531","606","18969","1813","1658","1619","1420","1142","1463","1648","1574","1384","1296","1104","847","658","452","310","240","184","157","20382","1707","1678","1542","1354","1132","1631","1791","1655","1414","1325","1209","943","810","604","400","391","347","449","32.1","31.1","33.1","28731","13560","15171","27504","12947","14557","26149","12246","13903","4363","1718","2645","3534","1343","2191","39351","38192","29049","3667","305","1625","207","112","399","19","14","501","373","28","8","9","4","7","3518","1159","174","180","230","344","30054","4011","562","1917","81","3971","39351","9555","7034","310","96","2115","29796","39351","9555","5298","117","159","42","3","3434","502","29796","23751","3550","146","1583","25","84","657","39351","38868","13526","7456","13359","10684","2631","917","371","1896","206","66","836","483","418","145","273","65","18","47","13526","9949","5638","7456","4127","666","373","1827","1138","3577","2879","1134","229","1745","785","6126","2435","2.87","3.36","14626","13526","1100","558","39","233","22","31","217","2.4","11.8","13526","9387","4139","28321","10547","3.02","2.55","0.640901473","0.00837851975"
"16","77547","77547","6904819.0","478895.0","+29.7358759","-095.2381784","9735","955","871","927","846","710","709","638","721","641","540","563","470","329","257","160","136","161","101","4906","529","442","462","434","362","371","321","362","315","282","294","237","157","128","65","56","59","30","4829","426","429","465","412","348","338","317","359","326","258","269","233","172","129","95","80","102","71","29.1","28.1","30.0","6801","3369","3432","6463","3200","3263","5996","2969","3027","1001","428","573","815","338","477","9735","9430","6208","744","73","11","1","2","2","0","2","0","4","1","1","0","0","0","2393","305","9","3","4","245","6478","762","103","21","11","2672","9735","7926","7344","19","3","560","1809","9735","7926","5173","26","67","1","0","2379","280","1809","1035","718","6","10","1","14","25","9735","9735","2709","1547","3795","2643","1281","581","130","403","44","12","162","0","0","0","0","0","0","0","2709","2217","1211","1547","891","180","72","490","248","492","405","201","55","204","118","1449","629","3.59","3.99","2945","2709","236","69","11","27","5","6","118","1.5","6.9","2709","1791","918","6386","3349","3.57","3.65","0.15467321182","0.00068855397"
"17","77377","77377","100733936.0","1211367.0","+30.0617270","-095.6815038","28708","2156","2452","2457","2082","1330","1501","1877","2359","2433","2418","2196","1815","1417","876","545","370","228","196","14236","1083","1255","1251","1083","693","747","896","1132","1199","1181","1117","887","719","416","267","162","88","60","14472","1073","1197","1206","999","637","754","981","1227","1234","1237","1079","928","698","460","278","208","140","136","36.2","35.6","36.8","21192","10421","10771","20239","9918","10321","19312","9441","9871","3001","1394","1607","2215","993","1222","28708","28043","23182","1271","115","1796","293","270","260","9","35","654","275","6","0","4","0","2","1673","665","150","135","121","178","23793","1425","282","1980","24","1895","28708","5374","4055","168","96","1055","23334","28708","5374","3321","44","62","32","0","1638","277","23334","19861","1227","53","1764","6","35","388","28708","28664","9709","6651","9850","7810","1576","582","326","878","75","27","395","44","43","14","29","1","0","1","9709","7824","4077","6651","3413","353","190","820","474","1885","1517","698","82","819","279","4381","1579","2.95","3.31","10136","9709","427","82","2","146","26","38","133","1.7","5.5","9709","8302","1407","24922","3742","3.0","2.66","0.73846859954","0.00953719005"
"18","77379","77379","65082885.0","1545338.0","+30.0408756","-095.5289190","70544","4892","5592","6000","5522","3365","3792","4382","5171","5281","5878","5756","4948","3892","2601","1371","939","654","508","34910","2524","2912","3100","2905","1795","1873","2060","2453","2507","2832","2771","2451","1878","1332","639","435","288","155","35634","2368","2680","2900","2617","1570","1919","2322","2718","2774","3046","2985","2497","2014","1269","732","504","366","353","36.8","35.6","37.8","52797","25736","27061","50300","24465","25835","47892","23119","24773","8350","3972","4378","6073","2849","3224","70544","68426","53242","5268","260","6463","1866","916","746","69","214","1044","1608","64","12","11","18","23","3129","2118","300","486","357","489","55041","5861","722","7206","143","3855","70544","11135","7029","486","180","3440","59409","70544","11135","7107","141","88","44","12","2976","767","59409","46135","5127","172","6419","52","153","1351","70544","70457","24124","16397","24126","18689","3722","1263","756","2088","234","62","898","87","76","59","17","11","6","5","24124","19557","10034","16397","8236","879","447","2281","1351","4567","3738","1624","269","2114","785","10734","4357","2.92","3.26","25531","24124","1407","677","16","348","50","60","256","1.7","13.7","24124","19883","4241","59526","10931","2.99","2.58","0.35538683204","0.00623182669"
"19","77562","77562","38443929.0","8715746.0","+29.8325394","-095.0508910","10459","744","692","786","819","668","654","638","654","693","801","845","751","558","367","302","226","140","121","5205","387","348","424","417","334","322","307","330","334","421","423","364","274","184","132","105","57","42","5254","357","344","362","402","334","332","331","324","359","380","422","387","284","183","170","121","83","79","36.8","36.1","37.5","8078","3964","4114","7752","3800","3952","7276","3561","3715","1474","691","783","1156","520","636","10459","10187","8429","681","79","38","4","2","11","4","0","10","7","1","0","0","0","1","959","272","44","8","45","136","8674","748","135","56","11","1118","10459","2664","2331","38","10","285","7795","10459","2664","1497","24","29","0","1","950","163","7795","6932","657","50","38","0","9","109","10459","10438","3765","1984","3244","2262","902","408","94","543","36","28","269","21","21","8","13","0","0","0","3765","2766","1197","1984","796","237","117","545","284","999","806","429","101","377","184","1404","864","2.77","3.22","4095","3765","330","106","9","48","32","29","106","1.6","10.4","3765","2862","903","8018","2420","2.8","2.68","0.45772894894","0.00440187871"
"20","77388","77388","36034805.0","191726.0","+30.0593073","-095.4706887","40384","2808","2929","3343","3264","2026","2396","2781","3071","3120","3186","3187","2565","2101","1508","893","565","375","266","19800","1447","1503","1683","1705","1042","1141","1367","1464","1516","1499","1563","1227","998","723","432","248","149","93","20584","1361","1426","1660","1559","984","1255","1414","1607","1604","1687","1624","1338","1103","785","461","317","226","173","36.1","35.0","37.1","30582","14778","15804","29159","14065","15094","27628","13236","14392","4765","2183","2582","3607","1645","1962","40384","39213","29855","3400","192","2922","571","415","562","32","33","622","687","47","9","9","6","23","2797","1171","148","232","171","343","30842","3698","407","3302","109","3281","40384","8651","5908","207","109","2427","31733","40384","8651","5204","91","77","28","8","2727","516","31733","24651","3309","115","2894","39","70","655","40384","40344","13693","8997","13662","10201","2582","897","489","1410","127","68","574","40","6","1","5","34","25","9","13693","11072","5589","8997","4465","620","313","1455","811","2621","2087","869","132","1218","473","6076","2602","2.95","3.28","14196","13693","503","108","10","208","22","28","127","1.7","5.3","13693","11777","1916","34698","5646","2.95","2.95","0.28781100904","0.00338901013"
"21","77389","77389","54033376.0","690469.0","+30.1234280","-095.5170643","21255","1742","1764","1707","1612","901","1168","1467","1672","1626","1693","1649","1381","1109","713","480","297","145","129","10474","911","857","855","832","466","558","677","792","799","820","842","673","551","364","226","140","70","41","10781","831","907","852","780","435","610","790","880","827","873","807","708","558","349","254","157","75","88","35.8","35.6","36.1","15701","7674","8027","14959","7291","7668","14242","6913","7329","2389","1138","1251","1764","841","923","21255","20773","17562","933","97","566","185","106","122","10","20","40","83","2","2","0","0","0","1613","482","75","85","97","138","18003","1073","195","693","30","1785","21255","4426","3311","108","43","964","16829","21255","4426","2577","39","36","13","0","1573","188","16829","14985","894","61","553","2","40","294","21255","21248","7039","4957","7326","5767","1226","440","207","700","87","28","308","7","0","0","0","7","0","7","7039","5884","3015","4957","2512","249","126","678","377","1155","914","431","85","483","198","3260","1286","3.02","3.3","7569","7039","530","60","3","226","25","105","111","3.5","7.3","7039","6281","758","18727","2521","2.98","3.33","0.44436923531","0.00512225075"
"21.ring1","77389","77389","54033376.0","690469.0","+30.1234280","-095.5170643","21255","1742","1764","1707","1612","901","1168","1467","1672","1626","1693","1649","1381","1109","713","480","297","145","129","10474","911","857","855","832","466","558","677","792","799","820","842","673","551","364","226","140","70","41","10781","831","907","852","780","435","610","790","880","827","873","807","708","558","349","254","157","75","88","35.8","35.6","36.1","15701","7674","8027","14959","7291","7668","14242","6913","7329","2389","1138","1251","1764","841","923","21255","20773","17562","933","97","566","185","106","122","10","20","40","83","2","2","0","0","0","1613","482","75","85","97","138","18003","1073","195","693","30","1785","21255","4426","3311","108","43","964","16829","21255","4426","2577","39","36","13","0","1573","188","16829","14985","894","61","553","2","40","294","21255","21248","7039","4957","7326","5767","1226","440","207","700","87","28","308","7","0","0","0","7","0","7","7039","5884","3015","4957","2512","249","126","678","377","1155","914","431","85","483","198","3260","1286","3.02","3.3","7569","7039","530","60","3","226","25","105","111","3.5","7.3","7039","6281","758","18727","2521","2.98","3.33","0.44436923531","0.00512225075"
"22","77571","77571","90520025.0","16288935.0","+29.6884312","-095.0573377","35666","2552","2723","2710","2728","2282","2416","2473","2583","2439","2663","2717","2489","1749","1179","749","552","381","281","17729","1341","1396","1428","1401","1163","1224","1230","1244","1181","1286","1313","1260","866","572","347","232","147","98","17937","1211","1327","1282","1327","1119","1192","1243","1339","1258","1377","1404","1229","883","607","402","320","234","183","34.9","33.7","36.0","27126","13284","13842","25980","12697","13283","24464","11907","12557","4102","1859","2243","3142","1396","1746","35666","34735","28694","2163","231","421","94","23","68","17","45","123","51","37","14","16","3","4","3189","931","195","109","184","297","29525","2432","457","583","69","3574","35666","10287","8518","184","105","1480","25379","35666","10287","6492","99","79","24","7","3147","439","25379","22202","2064","152","397","30","42","492","35666","35508","12569","7032","11637","8262","2599","1200","317","1671","152","54","823","158","103","55","48","55","34","21","12569","9395","4508","7032","3242","753","388","1610","878","3174","2536","1238","251","1298","546","5176","2394","2.83","3.26","13658","12569","1089","441","20","175","38","108","307","1.8","12.5","12569","9504","3065","27437","8071","2.89","2.63","0.6172008337","0.00995584182"
"23.0","77396","77396","69437393.0","408675.0","+29.9441663","-095.2586892","43317","4350","3757","3334","3213","3414","4221","4198","3653","2974","2720","2378","1852","1312","783","470","302","220","166","22154","2214","1890","1706","1726","1900","2186","2168","1876","1553","1436","1161","851","641","364","234","128","76","44","21163","2136","1867","1628","1487","1514","2035","2030","1777","1421","1284","1217","1001","671","419","236","174","144","122","29.3","28.9","29.8","31290","16061","15229","30014","15378","14636","28043","14257","13786","2685","1232","1453","1941","846","1095","43317","42054","20779","13378","366","1155","271","118","154","19","32","355","206","122","5","65","8","44","6254","1263","76","133","205","496","21761","13785","587","1409","198","6916","43317","17162","13306","273","90","3493","26155","43317","17162","9682","294","259","27","23","6171","706","26155","11097","13084","107","1128","99","83","557","43317","40765","13239","6958","14767","11478","3891","1605","383","1910","189","36","961","2552","2552","2357","195","0","0","0","13239","10165","5929","6958","3928","777","432","2430","1569","3074","2425","1194","115","1231","206","6639","1427","3.08","3.52","14394","13239","1155","598","7","246","31","56","217","2.7","11.6","13239","8696","4543","28015","12750","3.22","2.81","0.51173599125","0.00652692918"
"23.1","77396","77396","69437393.0","408675.0","+29.9441663","-095.2586892","43317","4350","3757","3334","3213","3414","4221","4198","3653","2974","2720","2378","1852","1312","783","470","302","220","166","22154","2214","1890","1706","1726","1900","2186","2168","1876","1553","1436","1161","851","641","364","234","128","76","44","21163","2136","1867","1628","1487","1514","2035","2030","1777","1421","1284","1217","1001","671","419","236","174","144","122","29.3","28.9","29.8","31290","16061","15229","30014","15378","14636","28043","14257","13786","2685","1232","1453","1941","846","1095","43317","42054","20779","13378","366","1155","271","118","154","19","32","355","206","122","5","65","8","44","6254","1263","76","133","205","496","21761","13785","587","1409","198","6916","43317","17162","13306","273","90","3493","26155","43317","17162","9682","294","259","27","23","6171","706","26155","11097","13084","107","1128","99","83","557","43317","40765","13239","6958","14767","11478","3891","1605","383","1910","189","36","961","2552","2552","2357","195","0","0","0","13239","10165","5929","6958","3928","777","432","2430","1569","3074","2425","1194","115","1231","206","6639","1427","3.08","3.52","14394","13239","1155","598","7","246","31","56","217","2.7","11.6","13239","8696","4543","28015","12750","3.22","2.81","0.51173599125","0.00652692918"
"23.1.ring1","77396","77396","69437393.0","408675.0","+29.9441663","-095.2586892","43317","4350","3757","3334","3213","3414","4221","4198","3653","2974","2720","2378","1852","1312","783","470","302","220","166","22154","2214","1890","1706","1726","1900","2186","2168","1876","1553","1436","1161","851","641","364","234","128","76","44","21163","2136","1867","1628","1487","1514","2035","2030","1777","1421","1284","1217","1001","671","419","236","174","144","122","29.3","28.9","29.8","31290","16061","15229","30014","15378","14636","28043","14257","13786","2685","1232","1453","1941","846","1095","43317","42054","20779","13378","366","1155","271","118","154","19","32","355","206","122","5","65","8","44","6254","1263","76","133","205","496","21761","13785","587","1409","198","6916","43317","17162","13306","273","90","3493","26155","43317","17162","9682","294","259","27","23","6171","706","26155","11097","13084","107","1128","99","83","557","43317","40765","13239","6958","14767","11478","3891","1605","383","1910","189","36","961","2552","2552","2357","195","0","0","0","13239","10165","5929","6958","3928","777","432","2430","1569","3074","2425","1194","115","1231","206","6639","1427","3.08","3.52","14394","13239","1155","598","7","246","31","56","217","2.7","11.6","13239","8696","4543","28015","12750","3.22","2.81","0.51173599125","0.00652692918"
"24","77401","77401","9715941.0","1966.0","+29.7040190","-095.4609047","17491","1152","1407","1523","1255","532","652","748","1201","1440","1547","1799","1455","1012","588","367","292","227","294","8511","589","690","784","682","271","293","331","552","691","739","858","754","515","289","179","120","82","92","8980","563","717","739","573","261","359","417","649","749","808","941","701","497","299","188","172","145","202","40.9","40.4","41.4","13107","6281","6826","12466","5960","6506","12064","5716","6348","2339","1068","1271","1768","762","1006","17491","17097","13945","324","41","2469","564","1265","81","34","118","224","183","3","0","1","0","2","315","394","50","201","35","42","14296","388","112","2721","21","381","17491","1675","914","73","100","588","15816","17491","1675","1295","3","17","11","1","270","78","15816","12650","321","24","2458","2","45","316","17491","17448","6449","4173","5862","4892","517","120","200","447","12","30","195","43","43","11","32","0","0","0","6449","4800","2658","4173","2322","175","96","452","240","1649","1387","544","130","843","355","2723","1326","2.71","3.2","6844","6449","395","89","3","127","34","28","114","2.3","6.9","6449","5251","1198","15008","2440","2.86","2.04","0.17114731175","0.00090594615"
"25","77586","77586","33634002.0","6117829.0","+29.5838160","-095.0361665","20970","1131","1337","1580","1622","1137","1138","1096","1427","1583","1923","1961","1654","1138","828","522","434","255","204","10628","585","681","770","878","600","591","532","697","810","929","1026","874","603","419","245","197","118","73","10342","546","656","810","744","537","547","564","730","773","994","935","780","535","409","277","237","137","131","40.1","39.9","40.3","16568","8401","8167","15803","7969","7834","15075","7593","7482","2891","1407","1484","2243","1052","1191","20970","20458","18079","745","88","901","245","154","115","26","36","158","167","24","3","5","12","4","621","512","109","129","84","100","18546","880","238","1076","45","746","20970","2627","1750","101","80","696","18343","20970","2627","1811","26","28","13","6","572","171","18343","16268","719","60","888","18","49","341","20970","20798","8304","4509","6100","4595","931","337","169","954","72","39","484","172","163","124","39","9","1","8","8304","5669","2582","4509","1934","427","216","733","432","2635","2153","1222","153","931","298","2818","1612","2.5","3.04","9487","8304","1183","703","12","206","21","123","118","3.4","22.2","8304","5855","2449","15655","5143","2.67","2.1","0.46190630862","0.00370150582"
