"shapeid","x","y"
"0","-95.044892","30.028589"
"0","-95.044824","30.02847"
"0","-95.04475","30.028322"
"0","-95.044686","30.028195"
"0","-95.044646","30.028116"
"0","-95.044613","30.028049"
"0","-95.044582","30.02797"
"0","-95.042387","30.022406"
"0","-95.042371","30.022365"
"0","-95.042355","30.022324"
"0","-95.041134","30.01919"
"0","-95.039769","30.015687"
"0","-95.039708","30.01554"
"0","-95.039691","30.015488"
"0","-95.035692","30.005064"
"0","-95.032389","29.996471"
"0","-95.032147","29.995841"
"0","-95.031421","29.993953"
"0","-95.031179","29.993324"
"0","-95.031107","29.993474"
"0","-95.031094","29.993489"
"0","-95.030936","29.993699"
"0","-95.030797","29.993798"
"0","-95.03068","29.993846"
"0","-95.030509","29.993919"
"0","-95.030469","29.993936"
"0","-95.030115","29.994051"
"0","-95.029818","29.994178"
"0","-95.029635","29.994207"
"0","-95.02918","29.994282"
"0","-95.028965","29.994375"
"0","-95.028668","29.994634"
"0","-95.028466","29.995002"
"0","-95.02839","29.995211"
"0","-95.028276","29.995387"
"0","-95.027777","29.996049"
"0","-95.027499","29.996421"
"0","-95.027215","29.996674"
"0","-95.027139","29.996696"
"0","-95.027065","29.996706"
"0","-95.026848","29.996739"
"0","-95.026846","29.996739"
"0","-95.026772","29.996739"
"0","-95.026507","29.996739"
"0","-95.025585","29.996624"
"0","-95.025476","29.996618"
"0","-95.024732","29.996579"
"0","-95.023172","29.996733"
"0","-95.022432","29.996859"
"0","-95.021908","29.996909"
"0","-95.021593","29.996856"
"0","-95.020308","29.996641"
"0","-95.02","29.996589"
"0","-95.018667","29.996457"
"0","-95.018475","29.996382"
"0","-95.017505","29.996006"
"0","-95.017057","29.995797"
"0","-95.013142","29.994804"
"0","-95.012629","29.994674"
"0","-95.011346","29.994332"
"0","-95.011312","29.994318"
"0","-95.01129","29.99431"
"0","-95.011207","29.994288"
"0","-95.011172","29.99428"
"0","-95.011152","29.994275"
"0","-95.011094","29.99426"
"0","-95.011075","29.994256"
"0","-95.010783","29.994182"
"0","-95.009908","29.99396"
"0","-95.009617","29.993887"
"0","-95.009583","29.993878"
"0","-95.009482","29.993852"
"0","-95.009449","29.993844"
"0","-95.008548","29.993616"
"0","-95.007373","29.993319"
"0","-95.005842","29.992949"
"0","-95.004939","29.992732"
"0","-95.004885","29.992719"
"0","-95.004852","29.992711"
"0","-95.004591","29.992652"
"0","-95.004505","29.992633"
"0","-95.00434","29.992596"
"0","-95.003845","29.992485"
"0","-95.003681","29.992448"
"0","-95.003406","29.992386"
"0","-95.003148","29.992328"
"0","-95.00263","29.992267"
"0","-95.002572","29.992255"
"0","-95.002296","29.9922"
"0","-95.002188","29.992179"
"0","-95.001979","29.992096"
"0","-95.001935","29.992069"
"0","-95.001733","29.991948"
"0","-95.001449","29.99181"
"0","-95.001253","29.99175"
"0","-95.000924","29.991716"
"0","-95.000854","29.991717"
"0","-95.000659","29.991722"
"0","-95.000472","29.991689"
"0","-95.000406","29.991678"
"0","-95.00021","29.991626"
"0","-95.000145","29.99161"
"0","-95.000116","29.991602"
"0","-95.00003","29.99158"
"0","-95.000002","29.991573"
"0","-94.999964","29.991552"
"0","-94.999853","29.99149"
"0","-94.999847","29.991487"
"0","-94.999824","29.99146"
"0","-94.999809","29.991443"
"0","-94.99981","29.991436"
"0","-94.999828","29.99135"
"0","-94.999834","29.991322"
"0","-94.999821","29.991231"
"0","-94.99979","29.991009"
"0","-94.99979","29.990959"
